year_test,topN,metrics
2003,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.011536532352449422}"
2003,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.01700178286760612}"
2003,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.022954233389562168}"
2003,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.028527759153268776}"
2003,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.03384968836813903}"
2004,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.009890068268193858}"
2004,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.01614882364375561}"
2004,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.021845083299533063}"
2004,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.017241379310344827, 'precision_topk': 0.004219409282700422, 'ndcg_at_k': 0.02708963825623662}"
2004,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.017241379310344827, 'precision_topk': 0.0033783783783783786, 'ndcg_at_k': 0.032099102687256874}"
2005,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.009127411837847526}"
2005,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.014987522900784787}"
2005,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.020143042926715413}"
2005,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.004273504273504274, 'ndcg_at_k': 0.025053988962745386}"
2005,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.0034129692832764505, 'ndcg_at_k': 0.029741467115550684}"
2006,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.008271714786252469}"
2006,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.00847457627118644, 'ndcg_at_k': 0.013506323686785946}"
2006,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.005649717514124294, 'ndcg_at_k': 0.018193980389489463}"
2006,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.00423728813559322, 'ndcg_at_k': 0.022584329322251375}"
2006,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.003389830508474576, 'ndcg_at_k': 0.026776894625753046}"
2007,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.007968063790503391}"
2007,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.013083833693127867}"
2007,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.017659235802783658}"
2007,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.021871674666188976}"
2007,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.0034129692832764505, 'ndcg_at_k': 0.025963757460488717}"
2008,0.01,"{'auc': 0.5, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.007740794889975299}"
2008,0.02,"{'auc': 0.5, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.012616429541792325}"
2008,0.03,"{'auc': 0.5, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.005952380952380952, 'ndcg_at_k': 0.016977613733926807}"
2008,0.04,"{'auc': 0.5, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.004464285714285714, 'ndcg_at_k': 0.02105960168717211}"
2008,0.05,"{'auc': 0.5, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.007142857142857143, 'ndcg_at_k': 0.024956033151697105}"
