year_test,topN,metrics
2003,0.01,"{'auc': 0.7264835951442411, 'sensitivity_topk': 0.057971014492753624, 'precision_topk': 0.06779661016949153, 'ndcg_at_k': 0.0665620160904495}"
2003,0.02,"{'auc': 0.7264835951442411, 'sensitivity_topk': 0.10144927536231885, 'precision_topk': 0.058823529411764705, 'ndcg_at_k': 0.08765889949014107}"
2003,0.03,"{'auc': 0.7264835951442411, 'sensitivity_topk': 0.11594202898550725, 'precision_topk': 0.0446927374301676, 'ndcg_at_k': 0.09604820776591645}"
2003,0.04,"{'auc': 0.7264835951442411, 'sensitivity_topk': 0.15942028985507245, 'precision_topk': 0.04602510460251046, 'ndcg_at_k': 0.12002078904777513}"
2003,0.05,"{'auc': 0.7264835951442411, 'sensitivity_topk': 0.18840579710144928, 'precision_topk': 0.043478260869565216, 'ndcg_at_k': 0.13527045665721532}"
2004,0.01,"{'auc': 0.6885959249782869, 'sensitivity_topk': 0.017241379310344827, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.016204304012205375}"
2004,0.02,"{'auc': 0.6885959249782869, 'sensitivity_topk': 0.034482758620689655, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.027102366796998505}"
2004,0.03,"{'auc': 0.6885959249782869, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.02247191011235955, 'ndcg_at_k': 0.04661273838508498}"
2004,0.04,"{'auc': 0.6885959249782869, 'sensitivity_topk': 0.08620689655172414, 'precision_topk': 0.02109704641350211, 'ndcg_at_k': 0.05591167472705638}"
2004,0.05,"{'auc': 0.6885959249782869, 'sensitivity_topk': 0.10344827586206896, 'precision_topk': 0.02027027027027027, 'ndcg_at_k': 0.06468455373706196}"
2005,0.01,"{'auc': 0.6841526297696803, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.017241379310344827, 'ndcg_at_k': 0.01665685259433626}"
2005,0.02,"{'auc': 0.6841526297696803, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.008547008547008548, 'ndcg_at_k': 0.01665685259433626}"
2005,0.03,"{'auc': 0.6841526297696803, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.011428571428571429, 'ndcg_at_k': 0.027923179269520614}"
2005,0.04,"{'auc': 0.6841526297696803, 'sensitivity_topk': 0.08888888888888889, 'precision_topk': 0.017094017094017096, 'ndcg_at_k': 0.049584808142271265}"
2005,0.05,"{'auc': 0.6841526297696803, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.020477815699658702, 'ndcg_at_k': 0.07040523833272652}"
2006,0.01,"{'auc': 0.7322707930367505, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.021805833539349288}"
2006,0.02,"{'auc': 0.7322707930367505, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.025423728813559324, 'ndcg_at_k': 0.05367666043548503}"
2006,0.03,"{'auc': 0.7322707930367505, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.05367666043548503}"
2006,0.04,"{'auc': 0.7322707930367505, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.012711864406779662, 'ndcg_at_k': 0.05367666043548503}"
2006,0.05,"{'auc': 0.7322707930367505, 'sensitivity_topk': 0.15151515151515152, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.07912019374306432}"
2007,0.01,"{'auc': 0.6817745803357315, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.6817745803357315, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.03,"{'auc': 0.6817745803357315, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.005681818181818182, 'ndcg_at_k': 0.01461666193987957}"
2007,0.04,"{'auc': 0.6817745803357315, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.004273504273504274, 'ndcg_at_k': 0.01461666193987957}"
2007,0.05,"{'auc': 0.6817745803357315, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.013651877133105802, 'ndcg_at_k': 0.05513824214497204}"
2008,0.01,"{'auc': 0.7077721776969897, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.03239459474311709}"
2008,0.02,"{'auc': 0.7077721776969897, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.03239459474311709}"
2008,0.03,"{'auc': 0.7077721776969897, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.011904761904761904, 'ndcg_at_k': 0.048955459927853}"
2008,0.04,"{'auc': 0.7077721776969897, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.048955459927853}"
2008,0.05,"{'auc': 0.7077721776969897, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.007142857142857143, 'ndcg_at_k': 0.048955459927853}"
